Date,Code,Open,Close,Volume
2019-03-13,FB,172.32,173.37,11973300
2019-03-13,GOOGL,1205.93,1199.06,1294400
2019-03-13,NFLX,355.81,361.21,6444100
2019-03-14,FB,169.76,170.17,18037400
2019-03-14,GOOGL,1199.02,1192.53,1365100
2019-03-14,NFLX,360.5,358.82,5271400
2019-03-15,FB,167.16,165.98,37135400
2019-03-15,GOOGL,1198.0,1190.3,2594300
2019-03-15,NFLX,361.02,361.46,8444500
2019-03-18,FB,163.57,160.47,37524200
2019-03-18,GOOGL,1189.69,1188.55,1222100
2019-03-18,NFLX,362.47,363.44,7194700
2019-03-19,FB,161.48,161.57,25611500
2019-03-19,GOOGL,1191.72,1202.46,1489400
2019-03-19,NFLX,366.4,358.78,7541400
2019-03-20,FB,161.5,165.44,20211500
2019-03-20,GOOGL,1201.4,1226.43,2075400
2019-03-20,NFLX,358.91,375.22,10917200
2019-03-21,FB,164.89,166.08,16223000
2019-03-21,GOOGL,1220.0,1236.13,1407500
2019-03-21,NFLX,374.0,377.87,8544000
2019-03-22,FB,165.65,164.34,16389200
2019-03-22,GOOGL,1228.85,1207.65,1721100
2019-03-22,NFLX,375.95,361.01,8661300
2019-03-25,FB,163.0,166.29,12631200
2019-03-25,GOOGL,1199.56,1197.38,1378800
2019-03-25,NFLX,359.0,366.23,8473800
2019-03-26,FB,167.35,167.68,15437900
2019-03-26,GOOGL,1205.19,1189.84,1537600
2019-03-26,NFLX,367.87,359.97,7666500
2019-03-27,FB,167.85,165.87,10620300
2019-03-27,GOOGL,1191.92,1178.01,1471400
2019-03-27,NFLX,361.0,353.37,7852400
2019-03-28,FB,164.57,165.55,10443000
2019-03-28,GOOGL,1175.5,1172.27,1120100
2019-03-28,NFLX,354.49,354.61,4361000
2019-03-29,FB,166.39,166.69,13455500
2019-03-29,GOOGL,1180.18,1176.89,1544500
2019-03-29,NFLX,357.16,356.56,4705600
2019-04-01,FB,167.83,168.7,10381500
2019-04-01,GOOGL,1187.54,1198.98,1385300
2019-04-01,NFLX,359.0,366.96,7036100
2019-04-02,FB,170.14,174.2,23946500
2019-04-02,GOOGL,1200.05,1205.54,914400
2019-04-02,NFLX,366.25,367.72,5158700
2019-04-03,FB,174.5,173.54,27391100
2019-04-03,GOOGL,1212.7,1210.81,1109000
2019-04-03,NFLX,369.26,369.75,5368900
2019-04-04,FB,176.02,176.02,17847700
2019-04-04,GOOGL,1211.29,1219.45,1051100
2019-04-04,NFLX,370.07,367.88,4627300
2019-04-05,FB,176.88,175.72,9594100
2019-04-05,GOOGL,1219.3,1211.45,1000600
2019-04-05,NFLX,369.0,365.49,3905500
2019-04-08,FB,175.21,174.93,7297400
2019-04-08,GOOGL,1211.11,1208.28,1087500
2019-04-08,NFLX,365.11,361.41,4653800
2019-04-09,FB,175.62,177.58,19751000
2019-04-09,GOOGL,1201.89,1202.69,983400
2019-04-09,NFLX,360.54,364.71,5439200
2019-04-10,FB,178.18,177.82,11701500
2019-04-10,GOOGL,1205.09,1206.45,775500
2019-04-10,NFLX,365.79,363.92,4545600
2019-04-11,FB,178.24,177.51,8071000
2019-04-11,GOOGL,1208.9,1209.59,849900
2019-04-11,NFLX,365.0,367.65,6526900
